run,fen,model,llm_bestmove,fen_valid,llm_move_valid
,8/q7/1r4b1/nqB5/1N3r1q/1R2R1N1/8/Kb2k3 w - - 0 1,qwen25,d5d4,True,False
,N6n/4b3/B3RnPr/6Q1/Bn6/2rbNR1k/5np1/1qK1Bqq1 w - - 0 1,qwen25,d7d5,True,False
,2b1rq2/3Q1Pr1/3N4/2k5/p2N2q1/N2K1R1R/8/1BR5 w - - 0 1,qwen25,d7d5,True,False
,r1Nqq3/1r3r2/4n1r1/2k5/Q3r2P/1B3P2/n5P1/2Q1K3 w - - 0 1,qwen25,d2d4,True,False
,1N3rb1/3B4/2B3Pk/7r/1Q1nq3/3K4/3B3Q/3N4 w - - 0 1,qwen25,d5d4,True,False
,3b4/2n3b1/5K2/2b5/2B5/1qq1Bkn1/P1P3b1/4Q3 w - - 0 1,qwen25,d2d4,True,False
,8/8/5q2/4k2N/8/2K5/4n3/6n1 w - - 0 1,qwen25,d7d5,True,False
,6kn/2pQ4/B5bR/p2P3K/8/2p5/P2r2Q1/4b3 w - - 0 1,qwen25,d7d5,True,False
,1n3Knr/3p1B2/4B2R/1kr2P2/8/6pr/5q2/4Q2R w - - 0 1,qwen25,d7d5,True,False
,2r1qN2/2qk2q1/6q1/1R4N1/r7/3K1P1P/pRb5/Nb1n4 w - - 0 1,qwen25,d5d4,True,False
,2B3K1/p1QB2bp/5r1k/r7/B1Q5/1B2p2q/5N2/1Q3B2 w - - 0 1,qwen25,d2d4,True,False
,2bNN3/6K1/r2p1bb1/P5q1/1N4kR/1r3r1b/8/2qr1Q1N w - - 0 1,qwen25,d7d5,True,False
,4Rr1n/1n1r4/3K4/1R3b2/Br3qk1/6q1/2q1P3/3q4 w - - 0 1,qwen25,d5d4,True,False
,K7/pk4q1/2qP4/2B1P2n/B2p3Q/1Q6/8/1qr5 w - - 0 1,qwen25,d5d4,True,False
,1Q4n1/2p5/p5Q1/6n1/N1bn3K/2b1k3/5n2/7b w - - 0 1,qwen25,d8d7,True,False
,4rq2/4QN2/7n/R3P3/1KP1NbNB/NN2kr1N/N7/1q5B w - - 0 1,qwen25,d5d4,True,False
,n3qR2/7R/3R2q1/1q6/bkQ4n/1R1p1N2/Q3N1R1/K6r w - - 0 1,qwen25,d5d4,True,False
,2Q5/8/2qk1pN1/2P3P1/6b1/K1B5/1N2b1q1/3R4 w - - 0 1,qwen25,d5d4,True,False
,RN2QQ2/4r3/BR2B2N/1R1k3q/1n2RK1R/1N6/1Q1Q4/bN3qB1 w - - 0 1,qwen25,d5d4,True,False
,3nK3/R1R5/5N2/4nnk1/3Q4/B7/4p3/BB1n1qbQ w - - 0 1,qwen25,d5d4,True,False
,5K2/1qN1P3/2k3n1/1qrq4/1p6/2b2n1b/2Pr4/5r1n w - - 0 1,qwen25,d2d4,True,False
,8/Q2P4/1BN4N/4K3/r7/2q2nP1/1B6/k6N w - - 0 1,qwen25,d5d4,True,False
,n3k2n/8/4K3/2r5/P5Q1/8/nq1Np2P/8 w - - 0 1,qwen25,d5d4,True,False
,2b3Qb/8/2qk4/3q1R2/1pb1K3/6p1/2r5/3N4 w - - 0 1,qwen25,d7d5,True,False
,4r3/p7/1RqrN3/7p/2r1nKpn/2R5/2b3B1/3Bk3 w - - 0 1,qwen25,h7h6,True,False
,3r1k2/8/8/7q/3Q4/7p/6B1/2K5 w - - 0 1,qwen25,h7h5,True,False
,8/r5k1/8/8/8/1K1nn3/1q6/8 w - - 0 1,qwen25,d2d4,True,False
,1Nbk1q2/r4Pn1/8/2P5/1rPQ1Rb1/8/RK4R1/8 w - - 0 1,qwen25,d2d4,True,False
,5Kk1/4bQ2/R6b/Q3r3/3r1q2/7P/r3N3/6B1 w - - 0 1,qwen25,h7h5,True,False
,8/8/2Bp2R1/P2K4/R4q2/N2Q1k2/B1B2n2/2N5 w - - 0 1,qwen25,d5d4,True,False
,5R1B/4N3/2b5/8/3N4/Q1r2k2/8/1Kr5 w - - 0 1,qwen25,d5d4,True,False
,1r1B4/8/1R6/8/3K4/4k3/2P1B3/8 w - - 0 1,qwen25,d2d4,True,False
,8/2R5/3n2n1/3p4/2p4N/1K3Q1k/2b5/2Q5 w - - 0 1,qwen25,d2d4,True,False
,q3R2n/7q/7n/K3R1k1/8/4p3/6PN/n5b1 w - - 0 1,qwen25,h7h5,True,False
,Q7/3n4/4Qb2/K6B/Bq1Q4/2R1b3/7p/1k6 w - - 0 1,qwen25,d5d4,True,False
,5N1n/n4k2/8/6N1/N7/8/2P1b3/3K4 w - - 0 1,qwen25,d5d4,True,False
,b7/Q1p1K1b1/Q5nB/B6N/1Q2b1BR/1r6/RN5p/B2q2kn w - - 0 1,qwen25,d7d5,True,False
,QQ2qQ2/N6R/1B6/2K3q1/8/8/8/1kQ3q1 w - - 0 1,qwen25,d5d4,True,False
,N1k5/5n1q/1B5n/1K1q3P/4p1N1/5Q2/6r1/2b3r1 w - - 0 1,qwen25,d5d4,True,False
,6q1/5n2/5k2/4K3/6N1/N7/Q5B1/8 w - - 0 1,qwen25,g1f3,True,False
,3Q2k1/2n1r3/1P6/B5b1/3pK3/8/1q6/n4B2 w - - 0 1,qwen25,d7d5,True,False
,1K2R3/7r/2k5/1rQ1QR2/1R5N/4bB2/4B3/3Q4 w - - 0 1,qwen25,h7h6,True,False
,2Q5/1B3K2/1bk1P2p/p7/8/6r1/n2n1qR1/Q7 w - - 0 1,qwen25,d7d5,True,False
,K1b2b2/5B2/2nP4/2P2Qn1/2BR4/1P6/1b2r3/1nk5 w - - 0 1,qwen25,d2d4,True,False
,k7/8/3b4/8/1qb5/4b1q1/6K1/4b3 w - - 0 1,qwen25,d5d4,True,False
,3b2N1/2R2K2/2rPN3/3qb3/4Q3/1k1bR3/3N3n/1Q4B1 w - - 0 1,qwen25,d5d4,True,False
,1kR4b/4qnQ1/4N1Q1/1Pn3B1/2r5/5b2/2R1N2K/1B4B1 w - - 0 1,qwen25,d7d5,True,False
,R1Qq4/2n1N2R/qKQ2P2/1k4r1/5B1q/3Nr3/p2Q4/Q7 w - - 0 1,qwen25,d2d4,True,False
,8/4Pbrq/1Bk3q1/6Qn/r3Qb2/1p2P1r1/2K5/1Rq5 w - - 0 1,qwen25,d7d5,True,False
,6r1/5K2/4P1kp/6p1/6rN/6q1/3R2Q1/1N3b2 w - - 0 1,qwen25,d7d5,True,False
,5NR1/1rp1R3/3k1R2/1p6/1K1r1r2/1r2n1rR/nn6/1R5N w - - 0 1,qwen25,d7d5,True,False
,3k1B2/1r6/b5Pr/qN1p2PR/1R2P2N/2Kq4/P1bNQ2Q/B3r3 w - - 0 1,qwen25,d5d4,True,False
,1r6/2K5/8/1R6/1B4k1/7b/8/1q6 w - - 0 1,qwen25,d5d4,True,False
,2k1R3/7p/7n/3B1q2/3K4/8/B7/4r3 w - - 0 1,qwen25,d5d4,True,False
,5Q2/8/1rBp3r/4p3/4k3/3n3N/8/5K2 w - - 0 1,qwen25,d7d5,True,False
,2B4R/Q3N3/P4P2/8/8/q5K1/1B1r4/5Qk1 w - - 0 1,qwen25,d7d5,True,False
,1R1r4/2Q4N/2R4K/6r1/pb2Pk2/2R2rB1/1nq2Q2/8 w - - 0 1,qwen25,d5d4,True,False
,8/3Q2b1/1r6/2q2K1Q/7q/3p3N/n1k5/4q2Q w - - 0 1,qwen25,h7h5,True,False
,8/2kb3P/1B3n2/Q4N2/1p1q1n2/1qK3B1/2p1QbrB/N5nN w - - 0 1,qwen25,d5d4,True,False
,q1Qbn3/2B1n1rk/8/1R4R1/1PKq1q2/3B4/3n4/6R1 w - - 0 1,qwen25,d5d4,True,False
,2r3K1/q3q3/3B4/4p2P/1bR5/bb1pp3/1b1q1R1b/k4bBB w - - 0 1,qwen25,d7d6,True,False
,1Q4R1/bpp2n2/1Nk1N2q/5Qn1/8/1pp2b1q/q1KQ4/NB2r2N w - - 0 1,qwen25,d7d6,True,False
,R1kQ4/1p3P1K/2Q1Q3/2b5/5b2/3Q4/1Q6/7R w - - 0 1,qwen25,h7h8,True,True
,5N2/6r1/1bR1r3/5q2/1N2k1N1/q6b/1p4K1/2b4Q w - - 0 1,qwen25,d7d5,True,False
,8/6R1/1rQ2R2/4k2r/N5p1/5ppb/R2p2Kn/5q2 w - - 0 1,qwen25,d7d5,True,False
,krr2R2/r7/1Nq1RrNp/Q2b1B2/7K/2B2N2/p3rqp1/1q6 w - - 0 1,qwen25,g8f6,True,False
,3Q2K1/1nPr4/2Pk2N1/2Rn2p1/7R/2N5/3R4/N7 w - - 0 1,qwen25,h7h8,True,False
,8/1bk1NR2/qQQR3p/B5nR/8/3RQ2R/1b4nb/K4Q2 w - - 0 1,qwen25,d7d5,True,False
,q5RK/2N1P1B1/1N2nR2/6N1/3b2k1/1pb5/5B1r/1R2R1qQ w - - 0 1,qwen25,d7d5,True,False
,4Q3/4KNRN/2p5/8/4r3/8/P1r2k2/8 w - - 0 1,qwen25,g7g5,True,False
,qk6/4r2P/3r1n2/2q2b2/1p5b/qb3RK1/6Q1/Q3nB2 w - - 0 1,qwen25,d7d5,True,False
,8/7K/B2P1k2/2r5/2qB3q/8/4B1r1/8 w - - 0 1,qwen25,d5d4,True,False
,2r2r2/4nQ2/NN1R4/5NK1/3k1pP1/3P4/3r1R2/3b2b1 w - - 0 1,qwen25,d2d4,True,False
,1Rr1q3/1nn5/8/3nqb1n/1Qn5/kqb3Q1/1P2K1pr/b4N1N w - - 0 1,qwen25,d7d5,True,False
,q1Q2k2/8/8/3b4/7K/2R4B/6b1/2R5 w - - 0 1,qwen25,d7d5,True,False
,4R3/1Pk2B2/5Pq1/nn2PKp1/6n1/N1n1QBp1/1N3q1Q/8 w - - 0 1,qwen25,d7d5,True,False
,6b1/QP1Q4/7K/1p1Q2q1/2Q1r3/3k2NN/5n1P/2r2R2 w - - 0 1,qwen25,h7h5,True,False
,7Q/4k3/8/8/5N2/K2b4/2b5/3NQ3 w - - 0 1,qwen25,d2d4,True,False
,2B5/RKB2R2/4r1k1/1qB5/2B1B3/3R2pR/3b4/n3Bb2 w - - 0 1,qwen25,d7d6,True,False
,5K2/8/3rB3/6kq/5q2/8/2R5/6b1 w - - 0 1,qwen25,h7h5,True,False
,R2r1R2/N4R1K/1b4pP/2RP3b/3q2kP/5n2/pN3bbQ/2N3b1 w - - 0 1,qwen25,h7h6,True,False
,6N1/3r4/8/8/4R3/4Q3/3P2kR/K6q w - - 0 1,qwen25,g7g8q,True,False
,3B4/1n1K1n2/8/6B1/8/7Q/6B1/r5kb w - - 0 1,qwen25,d5d4,True,False
,1K5Q/4B2n/1b3B2/Bpb1pp1k/7P/5b2/b1R3P1/1q1NQ3 w - - 0 1,qwen25,d2d4,True,False
,3n4/4n1B1/8/1k4bK/1r4Rb/4R3/P2B3P/1Q6 w - - 0 1,qwen25,d5d4,True,False
,1R1nr3/B1P3P1/K3k3/4p3/b5q1/7r/2b1Nn2/8 w - - 0 1,qwen25,d2d4,True,False
,q2N3Q/1K4pk/2r2P1P/8/8/1b1b3R/3b4/7N w - - 0 1,qwen25,d5d4,True,False
,2R1qQk1/5QR1/1pKr4/2BP2r1/1p5Q/5R2/3r2P1/3R2r1 w - - 0 1,qwen25,h7h5,True,False
,8/8/8/N1kb2R1/3BbP2/1r4K1/q2R4/3RR3 w - - 0 1,qwen25,d5d4,True,False
,2R4K/2q5/8/4pR2/6r1/4k3/8/4b1n1 w - - 0 1,qwen25,h7h5,True,False
,B2r2b1/b1Nk2q1/8/R5R1/N4bPr/q4P2/3r3r/1N1K3n w - - 0 1,qwen25,d5d4,True,False
,2rn4/3Bkq2/1qQ5/1B6/P4q2/3Q2Qq/8/1R3K2 w - - 0 1,qwen25,d5d4,True,False
,4b1K1/3q4/Rn2P2P/4PR2/6P1/2k3N1/7p/1n3B1N w - - 0 1,qwen25,d5d4,True,False
,8/b5r1/1R1QR3/2P2R2/3N2kQ/B2K3b/P7/2B2r2 w - - 0 1,qwen25,d2d4,True,False
,r3Q1Qq/1qK5/q1RN2q1/5rR1/3kr3/8/RP1bB1nq/1R2rR2 w - - 0 1,qwen25,h7h5,True,False
,RQ4b1/P5P1/4n1r1/P1qRk3/1N3b2/5KN1/8/8 w - - 0 1,qwen25,d2d4,True,False
,2qb4/5K1k/qP5B/2n5/1R2Q3/3q4/2qp1b2/r6r w - - 0 1,qwen25,d7d5,True,False
,4RrNQ/6Kr/k6q/Pb5Q/1PBP2n1/4Qb2/8/1N6 w - - 0 1,qwen25,h7h6,True,False
,1qr2r2/q1P3BP/1B6/8/k1n5/pK1N3b/2n2br1/6B1 w - - 0 1,qwen25,d2d4,True,False
,3Q2r1/2Q1n3/1Br5/1b1Bp3/R1R4k/2p3Qn/N2q4/r4K1Q w - - 0 1,qwen25,d7d5,True,False
,4knr1/8/8/4N3/n3K3/6R1/8/5N2 w - - 0 1,qwen25,d5d4,True,False
,6k1/4K3/7R/8/2P2B2/P1P3B1/8/4R3 w - - 0 1,qwen25,h7h5,True,False
,7N/1R2n2P/qn4b1/2KbQ3/N3Q1B1/2R1nq2/BRn3p1/2kn1Br1 w - - 0 1,qwen25,d5d4,True,False
,4Q3/4K3/1k1n4/6Nr/8/8/P1B4P/8 w - - 0 1,qwen25,d2d4,True,False
,qKqR2QR/3Rq3/4bP2/5rq1/3Q4/1r6/1r2R1n1/4b1k1 w - - 0 1,qwen25,h7h5,True,False
,6r1/6b1/1B1b3r/r4N2/1N4P1/p2k4/BN5q/1qnK4 w - - 0 1,qwen25,d7d5,True,False
,1kQ5/8/4K1r1/5bn1/5Q2/1B6/8/1B6 w - - 0 1,qwen25,d7d5,True,False
,4k2N/8/N4p2/4N3/p1q1b3/1R6/3q3b/4K3 w - - 0 1,qwen25,d5d4,True,False
,3N1r2/N1R1rP2/pBRK4/R1k2R1R/6B1/r1B1n3/8/8 w - - 0 1,qwen25,d5d4,True,False
,2N5/4B1rq/3b1p2/1Bq1Krp1/4rn2/1p6/3nk3/R3R3 w - - 0 1,qwen25,d2d4,True,False
,1n1K1kq1/5p1p/7n/5R2/N3QrN1/2Br3N/3N1N2/3N1n2 w - - 0 1,qwen25,d5d4,True,False
,3q4/4bN2/2qKB3/2P1n3/8/8/Qk6/8 w - - 0 1,qwen25,d5d4,True,False
,n2B1Q1B/4n3/8/1kr2Pq1/1b3Qp1/2nR1K2/4pb2/1N1rR3 w - - 0 1,qwen25,d5d4,True,False
,kRN3n1/1P1q2N1/8/3P4/PRR4q/r4q1q/1R6/1K1n1b2 w - - 0 1,qwen25,d5d4,True,False
,qbK3k1/Q1Pb2n1/8/5b2/5R2/1b6/7n/1q2q3 w - - 0 1,qwen25,d5d4,True,False
,1b3n2/5k2/8/Q2Q4/8/7R/8/5K2 w - - 0 1,qwen25,d2d4,True,False
,4Q2B/6B1/n2Q1N2/7K/4R2q/n3Qp2/8/1k4N1 w - - 0 1,qwen25,h7h5,True,False
,2r2B1q/4b2k/q7/n3r3/b2K4/8/RR5Q/1q3qb1 w - - 0 1,qwen25,d5d4,True,False
,5n2/q1R2bbp/7r/1qq2b2/p3Q3/4r1n1/r3Qr2/1K1b1k2 w - - 0 1,qwen25,d5d4,True,False
,8/8/1p1R4/2K5/1p6/5R2/q3k3/3q4 w - - 0 1,qwen25,d2d4,True,False
,2r5/4Q2b/1k6/8/1K5R/R3R3/5N2/4qQ2 w - - 0 1,qwen25,h7h5,True,False
,Br4R1/8/2nN4/5k2/2NK4/N1p4B/5b1R/1n6 w - - 0 1,qwen25,d2d4,True,False
,1N6/1k4n1/1B6/B2R1nN1/3nn3/3P1P2/Kq2q1Rq/5nr1 w - - 0 1,qwen25,d2d4,True,False
,3q4/b6B/8/4kN1b/2P2bKq/3n1N1P/8/8 w - - 0 1,qwen25,d7d5,True,False
,5k2/2B5/1N1R4/8/1P6/6K1/1p4Q1/B1R5 w - - 0 1,qwen25,d7d5,True,False
,1QR1qb2/3r4/3B1NNp/8/4K2B/5r1k/5N1b/8 w - - 0 1,qwen25,d2d4,True,False
,7r/2n1qp1n/6n1/q1Bk4/4Q1K1/5Q1q/6P1/1Qn1R3 w - - 0 1,qwen25,d5d4,True,False
,1RQQn3/5b2/3q4/7k/3K3p/6b1/N1Pqr1p1/5N2 w - - 0 1,qwen25,d7d5,True,False
,3k4/5n1r/6K1/5n2/1n6/n3n1Q1/6B1/8 w - - 0 1,qwen25,d7d5,True,False
,5R1r/2R1b2K/1P1B1p1P/N2BBRn1/n4n2/1q5N/5q1k/4Q3 w - - 0 1,qwen25,h7h6,True,False
,8/8/3B4/8/5nk1/K6b/3b3r/8 w - - 0 1,qwen25,d2d4,True,False
,1Q4Q1/1p5p/2b5/3q3k/4PrP1/8/1K3P2/1b1R4 w - - 0 1,qwen25,d7d6,True,False
,1k5R/8/1r6/6r1/2r5/5Prn/3q4/5R1K w - - 0 1,qwen25,h7h6,True,False
,8/8/5kN1/K1Q2B2/1n6/6n1/8/8 w - - 0 1,qwen25,d2d4,True,False
,2N2K2/6k1/1q1b2P1/brR5/8/2B1R3/7B/8 w - - 0 1,qwen25,d2d4,True,False
,N6n/q5p1/N2B3R/3BbQr1/7P/1rR5/r1Br4/B2kQK2 w - - 0 1,qwen25,d7d5,True,False
,8/P3R2k/n2N1b1Q/Q1NQPpp1/B2RnK2/8/B7/B7 w - - 0 1,qwen25,d5d4,True,False
,b1B3k1/1B5b/1p2P2b/8/5R1B/5K2/6q1/2b4r w - - 0 1,qwen25,d7d5,True,False
,n4B2/QB2bP2/1r1kP2P/3B1P2/1r3R2/B1R3p1/4K2B/6N1 w - - 0 1,qwen25,d5d4,True,False
,8/3kp3/1B2b1K1/QQ1RB3/4N3/p1P4Q/1Pb5/4n3 w - - 0 1,qwen25,d2d4,True,False
,2K1n2B/2b5/4P2k/4b2R/6B1/3r2q1/R1P1b3/4N3 w - - 0 1,qwen25,d7d5,True,False
,2nRB3/b7/2k2p2/2N3qn/4r3/3P3N/5p1K/6r1 w - - 0 1,qwen25,d5d4,True,False
,2B1b2q/5b2/7b/k5K1/8/8/8/3r4 w - - 0 1,qwen25,d5d4,True,False
,B1n3Q1/3Rk1q1/qB3B2/n7/P4pQ1/1b4b1/1NKBb3/2BB4 w - - 0 1,qwen25,d5d4,True,False
,3q4/Q1R3B1/4kp1N/8/R7/1B4n1/8/6K1 w - - 0 1,qwen25,d5d4,True,False
,b2q4/bP3rk1/B1p5/Prr5/q1r1b2K/2q1p1B1/4n3/1q2Nr2 w - - 0 1,qwen25,d7d5,True,False
,5NR1/1P3B2/n3Nb2/k3BP2/2q3rn/1rQ1PQ1K/2b5/2Q2B2 w - - 0 1,qwen25,d2d4,True,False
,4K3/8/3P4/1Rk5/8/6n1/2b4P/8 w - - 0 1,qwen25,d2d4,True,False
,q7/3p2Q1/4BQ2/2p5/4p3/r3R3/3K4/Q2bk3 w - - 0 1,qwen25,h7h8,True,False
,6q1/8/b6b/kR6/2q1bn2/2r2N2/1P6/qQ2K1r1 w - - 0 1,qwen25,h7h5,True,False
,8/2N3P1/8/3N2P1/8/3Q4/8/3K1k2 w - - 0 1,qwen25,d5d4,True,False
,R7/1qrP4/8/8/kK1q4/8/3R1rB1/8 w - - 0 1,qwen25,h7h5,True,False
,3Qq1N1/N2rb1nB/R1bb4/1q2b1r1/3R1kq1/5R2/1K6/4r3 w - - 0 1,qwen25,d7d5,True,False
,4qn1n/PPk1R3/8/3nr1pN/4B3/4K1rP/6N1/6N1 w - - 0 1,qwen25,d7d5,True,False
,1n1b1NnN/1q2q3/1n3bq1/2kP1q2/2N5/6QN/4KQ2/Rqr3R1 w - - 0 1,qwen25,d7d5,True,False
,4r2q/1pR4p/2p2R2/3b2r1/4N3/1r1B1RKk/B6B/q4b1R w - - 0 1,qwen25,d5d4,True,False
,8/b1r5/nBK3P1/5q2/P7/B1QRBn2/1n1k4/2B1Q3 w - - 0 1,qwen25,d5d4,True,False
,8/5k2/q6Q/3pb3/3Q4/p7/2B1P1KQ/2R2qqn w - - 0 1,qwen25,h7h8q,True,False
,4N1Q1/8/QNK1q3/2P2R2/1q1b4/8/1Q1B1Q1k/8 w - - 0 1,qwen25,d5d4,True,False
,8/2p3P1/6pq/1P6/1k2BR2/4NK1q/bBbP1nr1/1R6 w - - 0 1,qwen25,d5d4,True,False
,1rQ5/8/8/6kP/2b5/2n5/8/K7 w - - 0 1,qwen25,d7d5,True,False
,6R1/7R/3K4/7R/n7/8/2N2P2/5k2 w - - 0 1,qwen25,h7h6,True,True
,2bQnR2/2k2b2/3P4/2R5/2R3K1/2Q5/p3n3/1Bn5 w - - 0 1,qwen25,d7d5,True,False
,4k3/4P3/5R2/r3N3/5B2/8/2K5/1Q6 w - - 0 1,qwen25,d5d4,True,False
,1N3R2/8/2n5/4p3/1kn5/2K5/5pn1/Nb2b1n1 w - - 0 1,qwen25,d7d5,True,False
,3Rq2n/R5r1/3Q3q/7k/3n4/1P6/pq1N1P2/1K2R3 w - - 0 1,qwen25,h8g6,True,False
,n3n3/5PP1/3k4/4r2K/1N6/8/8/R2B2r1 w - - 0 1,qwen25,d5d4,True,False
,nk1N1BQ1/1Q2R3/1b5R/4K2N/4Qb1N/5N2/3n4/3Q4 w - - 0 1,qwen25,d7d5,True,False
,B1bN4/8/N4K2/8/8/7P/8/3k2b1 w - - 0 1,qwen25,d5d4,True,False
,2q2N1N/4q3/1NbB1n2/R1b5/7P/2Rk2R1/1K6/3q4 w - - 0 1,qwen25,d7d5,True,False
,1r4N1/3k4/7b/7P/1Q6/r2bK3/7q/8 w - - 0 1,qwen25,d7d5,True,False
,1Kb1rB1R/6Nb/R2n2N1/8/2P1N1n1/1R4k1/7R/R3b3 w - - 0 1,qwen25,d5d4,True,False
,R2r4/4kn2/4q3/4q3/2QN3N/b6r/R1Q1K2B/2q5 w - - 0 1,qwen25,d7d5,True,False
,3R4/7N/rR1N3P/5Q2/R2k4/BQ3N2/b1r1pP2/5K1N w - - 0 1,qwen25,d5d4,True,False
,2Bb1Qr1/1Np1P1k1/Kp1q4/1r2N1qR/8/8/Q3NR1p/3r1qB1 w - - 0 1,qwen25,d5d4,True,False
,5b2/3r1b2/1B6/3K4/4B3/8/1B1R4/k4RB1 w - - 0 1,qwen25,d5d4,True,False
,4R1Bn/5Q1n/nB5Q/Rr1Np1b1/1n2B3/1K6/3n4/1kr5 w - - 0 1,qwen25,d7d5,True,False
,1r2Bk2/8/8/1R1q4/8/2r4K/8/5Q2 w - - 0 1,qwen25,d7d5,True,False
,3nK1B1/r3B1Pb/8/3B4/1P2k1N1/2Q5/n7/2q5 w - - 0 1,qwen25,d5d4,True,False
,3n4/q1R5/3K4/4P3/1q6/P4kQq/1R6/B5Nn w - - 0 1,qwen25,d5d4,True,False
,3n1n1R/1BQ2q2/3Qp3/P1P1kr2/3Nq2Q/3R2K1/1r1QB2n/3R1Q2 w - - 0 1,qwen25,d5d4,True,False
,3B4/1r5n/4k3/8/6BQ/2K5/1P2N3/8 w - - 0 1,qwen25,d7d5,True,False
,3bkn2/4PQ2/3q1b2/4K3/4P3/6qN/8/8 w - - 0 1,qwen25,d7d5,True,False
,5NrB/7Q/2B1rn2/K1B1b3/2nr1BR1/5P2/Qn1bB3/k2R4 w - - 0 1,qwen25,d7d6,True,False
,nq2Q1K1/1R6/2r4P/2B1N2P/2R5/2Nn2n1/4b1R1/k7 w - - 0 1,qwen25,d5d4,True,False
,3n4/1K3b2/3Q3p/2R5/k2P4/8/BqR4n/5N1b w - - 0 1,qwen25,d2d4,True,False
,1R1k4/4B3/B2Q3n/3b1R1K/NNPp3p/2N5/5p2/2rN2N1 w - - 0 1,qwen25,d7d5,True,False
,4R3/1QQ5/3B4/1BN3Q1/6K1/8/3B4/k7 w - - 0 1,qwen25,d2d4,True,False
,Nq6/b1NK2r1/2rpP2Q/8/1bQkr1Q1/5Q2/1Q1P4/1rq1Nb2 w - - 0 1,qwen25,d7d5,True,False
,3nR1B1/r4r2/2P1p1p1/B1PbQ2R/4P1P1/K3P2n/1p1P4/1b2q2k w - - 0 1,qwen25,d2d4,True,True
,2q5/R1q5/3B4/8/4n3/2K5/N5RR/3k4 w - - 0 1,qwen25,d2d4,True,False
,1B6/k3n2q/3r4/6p1/1r2K3/p7/8/2N5 w - - 0 1,qwen25,d5d4,True,False
,nbR5/3N3k/N5bQ/2B5/5Q2/r1Nq1q2/qN5R/3r1K2 w - - 0 1,qwen25,d5d4,True,False
,8/6P1/8/2N2r1B/1n2k3/6b1/1R2R3/K7 w - - 0 1,qwen25,d5d4,True,False
,2N4q/2b5/3k1N1r/R3K1R1/6B1/b3R1q1/R4b2/7Q w - - 0 1,qwen25,d8h4,True,False
,4K3/1P6/2k3Q1/8/8/8/2b5/2r5 w - - 0 1,qwen25,d2d4,True,False
,7N/5N2/1Q3r2/4pP2/5N1p/4kP2/8/6K1 w - - 0 1,qwen25,d5d4,True,False
,3r2Qq/4p1R1/5r1B/1n2r3/N1K4p/2p3P1/8/2Q1rnk1 w - - 0 1,qwen25,d7d6,True,False
,1Q4K1/2Qn1n1N/p1q5/2Pkb3/4p3/1P6/1B4qp/3b1N2 w - - 0 1,qwen25,d2d4,True,False
,6N1/8/R5Qk/8/4K2Q/5B1q/3p4/8 w - - 0 1,qwen25,d7d5,True,False
,R4b2/2rQb3/2Q5/1q4r1/1K1r1n2/q4R2/1kqBQ1B1/2Q3qB w - - 0 1,qwen25,d5d4,True,False
,3k4/1Rb1R3/3b3Q/6B1/b7/7N/1P2K2r/2b2N1B w - - 0 1,qwen25,d5d4,True,False
,n4Q2/Q3pbK1/5N1r/1Q6/r4B2/b4n2/8/1k6 w - - 0 1,qwen25,d7d5,True,False
,1Q2K1B1/kpP5/8/4bpb1/3Q1p2/6B1/1p2q3/8 w - - 0 1,qwen25,d2d4,True,False
,bN6/6Qk/2q2K2/2qp1R2/2NB4/1q6/4pBr1/bQr4n w - - 0 1,qwen25,d5d4,True,False
,3nB3/5r2/2N1Q1n1/krrR1p1K/4P3/1q6/1N4n1/2N5 w - - 0 1,qwen25,d2d4,True,False
,3R4/k2Q2K1/3N4/2r5/3b2nN/P6P/qpR5/1B1R4 w - - 0 1,qwen25,d2d4,True,False
,q6K/8/N5p1/4k3/8/1N6/8/1B6 w - - 0 1,qwen25,d7d5,True,False
,2B2r2/r1b2N2/8/1n1q2b1/2pK1p2/k7/4N1q1/3b2nn w - - 0 1,qwen25,d5d4,True,False
,8/1q2B3/1kK5/3B4/3Q4/3B2r1/1q6/1n6 w - - 0 1,qwen25,d7d5,True,False
,6R1/b4r2/4Q1Q1/K2b1Rq1/2Bb1q2/k1BN2br/4N3/3b4 w - - 0 1,qwen25,h7h5,True,False
,6k1/N5PB/3N4/8/8/8/2r4b/3K4 w - - 0 1,qwen25,d7d5,True,False
,5K2/b3R3/1k1R2r1/q1nP4/p3N3/q1q1N3/3q4/2r1bN2 w - - 0 1,qwen25,d2d4,True,False
,1N1q2Kn/7B/8/1kb4r/8/4Qn2/8/8 w - - 0 1,qwen25,d5d4,True,False
,8/3k2p1/2KRN3/B5N1/5P2/4r1n1/1Q1BRqQq/1n3b2 w - - 0 1,qwen25,d5d4,True,False
,1Q2kB2/3p2q1/2Q4q/NP2bb2/2K2R2/4P1P1/Q1PQ4/5Q2 w - - 0 1,qwen25,d2d4,True,True
,B4kn1/K7/6b1/8/1n6/B7/8/Q3r3 w - - 0 1,qwen25,d5d4,True,False
,r7/8/7B/8/2nr3K/8/2b5/1n3kb1 w - - 0 1,qwen25,d2d4,True,False
,3r4/3P4/B4qp1/3BKnpP/3P4/4n1B1/1QP4n/bkr2q1b w - - 0 1,qwen25,d5d4,True,False
,2q5/8/8/3P2BB/Rk4b1/1K2Q3/3b4/4n1Q1 w - - 0 1,qwen25,d5d4,True,False
