FEN,Next move
r1b1k2r/pppp1ppp/nb6/Q3q1P1/4pPnP/N2P4/PPPKP3/R1B2BNR b kq - 8 10,e5f4
1nr1kr2/p1p1bp2/b3p3/3p1p2/PPpP1RPP/2P1K3/5P2/RNB3N1 w - - 1 26,g4f5
2Q1qkr1/n2p2pp/1b2pp2/1rp1n3/2P3PP/4PP1N/PPNP2B1/R1BK3R b - - 0 22,e8c8
r4b1r/1b2pkp1/p1P4n/4nP2/2p2Pp1/1PP5/P5PP/RNBK2R1 b - - 1 23,e5c6
r1bq4/2p1nkr1/pp2p3/P2pn3/4P3/1PP2pPP/1B3R2/RN1K1BN1 b - - 0 19,d5e4
r1b2b1r/p1p1kp2/2R4p/1p1pp3/1q5P/P2P1N2/1B1NPK2/Q3R3 b - - 3 21,b4g4
2rqk2r/p1p1bp1p/1p1p1Q1n/4pb2/2P1PN1P/N2P2P1/PP1B1PB1/1R2K2R b Kk - 0 16,e7f6
r2k1b2/pp2p1p1/2n2p1n/PBpPr3/4N2p/4P2b/1P1P2PP/RNBQK1R1 w Q - 7 17,g2h3
rnb1kb1r/1p2pp2/p1pp2pn/2Qq4/6Pp/1PNP3N/P1P1PP1P/R1B1KB1R b KQkq g3 0 12,d5c5
r1b1Q2r/p1p1p2p/7k/PN1p4/1n2p3/2P5/1B1P1KPP/R5NR w - - 1 23,c3b4
r2k1bnr/p7/1ppp2R1/1B1P4/1P1npP2/2P1Q3/P2P4/R1B1K3 b Q - 1 25,d4c2
r1b1kr2/p5bp/1pppqp1n/P1n1p3/2P1P1pP/5N2/1P1P1PPR/R1BK1BN1 w q - 0 20,a5b6
rnb1kbn1/1p4pr/p2pp2p/2p2p2/2q2PPP/N4N2/PPPPP3/R1BQKB1R w Kq - 0 12,a3c4
r1bqkbnr/1pppppp1/p1n5/7p/8/PP6/2PNPPPP/RNBQKB1R w KQkq - 2 6,c2c4
1nbqkb1r/rp1pp2p/6pn/2p1Bp2/pPP1P3/1Q6/P2P1PPP/RN2KBNR w KQk - 0 8,b3b2
rn1qkb1r/pp1npppp/2p5/3p4/P3Q1bP/2P1P3/1P1PNPP1/RNBK1B1R b kq - 6 10,d5e4
1rbqk2r/N2ppp1p/n1p3pn/1p2b1P1/7N/3PB3/PPP1PP1P/R2QKB1R b KQk - 1 9,h6g4
rnb1kr2/5p1n/1q1bp1Q1/pppp4/1PP2PPp/7P/P2PP3/RNBK1BNR w q - 1 19,g6h7
1nbq1k1r/1p1p1p2/r1pR1n1p/p3p3/1PP1PpP1/4Q2P/P2KN3/RNB2B2 b - - 0 14,f4e3
2bqkbnr/1ppp2pp/r1n2p2/p3p1B1/4P2P/3P3N/PPP2PPR/RN1QKB2 b Qk - 3 6,f6g5
rbq3n1/p2p1k1r/n1Q1p2p/P4pp1/2BP4/RPP1P1P1/3K1P1P/1NB2bNR b - - 0 20,c8c6
2b1k1nr/2pn3p/1p1pp3/5pp1/4P2N/2pP1Kb1/r1P3P1/BR2QBR1 b k - 1 18,g3e1
rnbqk1nr/1p1p2bp/2p1pp2/p5p1/2P3PP/8/PP1PPP2/RNBQKBNR w KQkq - 1 8,d2d4
1nb1kbnr/1rpqp1pp/p4p2/1B6/2P5/4P3/PP1P1PPP/RNB1K1NR b KQk - 0 7,a6b5
r1b2kr1/3n1ppp/3p3Q/8/p2P4/PPp1P1bR/4N1P1/RKB2qN1 b - - 0 25,f1f5
rn1qkbnr/p1pp3p/Qp4p1/4Np2/4P3/N7/PPPP1PPP/R1B1KB1R b KQkq - 0 6,b8a6
rn1qkbr1/1p1bpppp/2p2n2/3p4/QPP5/B3PN2/P2P1PPP/RN2KB1R w KQq - 2 8,a4a8
rnb2br1/pp2p1kp/3p1p1n/q1p3p1/1P3PPP/3PP2B/3N4/1N1Q1K1R b - - 2 19,a5b5
2qk1b1r/prppp3/2n1p1Pp/5b1n/1pPP1NP1/P7/RP2KQ1P/2B2B1R w - - 3 22,g4f5
Nnbqk1nr/4ppb1/p2p2p1/1pp5/1P1P2P1/5P2/P1P1P2P/R2QKBNR b KQk - 0 10,g7d4
2bqkb2/3p1pp1/r1n1pn1r/Q1p4p/2P1P3/p4N2/PP1P1PPP/RNB3KR b - - 3 12,d8a5
r2qk1r1/1pp2N2/p4nbp/2b5/PnPp2BP/3P4/1P3PPN/1R1K3R w - - 2 25,f7d8
rnbqk1r1/p1ppp1bp/5p2/1p3nB1/2PP1p2/8/PP1NPKPP/2RQ1BNR b q - 5 13,f6g5
r1b1n1nr/6k1/4p2p/p1ppP2P/qp3pp1/PPPK4/1BPQN2R/1R3B2 w - - 0 22,d2f4
r1bk1b1r/p2npppp/2pp1q2/1p6/P3PBP1/1P3P1N/4P1BP/RN1K3R b - - 1 18,f6a1
r1bqkbr1/p1p1pppp/1pnp3n/8/3PP3/1P6/P1P1NPPP/R1BQKBNR w KQq - 0 6,d4d5
1nb1kbnr/rp1ppqp1/p1p2p1p/P2P4/4RQPP/7N/1PP1PP2/1NB1KB1R b Kk - 4 11,d7d6
r1b1kb1r/pp1pp2p/n5qn/2p2pp1/1P4P1/P4B1P/2PPPP2/RNBQK1NR w KQkq - 0 8,b4c5
1q2k1nr/r1pb1pb1/6pp/1pnppP2/1P5P/N2PP1P1/P1K5/R1B2BNR w - - 4 22,b4c5
rn3k2/3b3r/ppN1p2p/R1b1PpB1/1P1p4/2NP1PPP/Q1P1Kn2/5B2 b - - 0 25,b8c6
1nbqkbnr/2ppp2p/4rpp1/8/p4P2/p2P2P1/1BPNP2P/3QKBNR w Kk - 0 12,b2a3
rqb1kb1r/6p1/n2ppp2/P1p2n2/Pp3PPp/1QPPKB2/1B2P2P/1R4NR w - - 4 25,g4f5
rnq2k1r/p1pp3p/1p1b3n/1b2p1p1/Q1PPpPP1/P4N1P/1P2P3/R1B1KB1R w KQ - 0 13,c4b5
rn1qkb1r/1b1ppppp/p1p5/1p1n1P2/1P4P1/P3P3/2PPB2P/RNBQK1NR b KQkq - 2 7,c6c5
q1b1kbnr/1pp1pNp1/n4p1p/3K4/2rp1P2/7P/PP1PP1PR/RNB1QB2 b k - 5 14,b7b5
rnb1kb2/1p1ppppr/2p5/p1n4q/1N1P4/PP6/R1P1PPPP/1Q2KBNR w Kq - 6 13,d4c5
rnb1kbnr/8/p6p/2pp4/6PP/RP1P1N2/2P1PP2/1N1QKB1R b - - 3 19,b8c6
r1b2rk1/N1p4p/pp1b1ppn/3pp3/2P1P2P/Pn2K1Q1/1P4P1/R1B2B1R b - - 0 21,a8a7
rn2k2r/p1pp1p2/bp1q3p/1n6/P4PP1/R1NP3P/1PP1P2R/3QKBN1 w kq - 3 16,a4b5
r3kbnr/1ppbp2p/p1nq1pp1/3p4/1P6/2N2P1P/PBPPP1PR/R2QKBN1 w Qkq - 0 8,g2g3
rnb2knr/Q2p3p/5p1b/2p4P/5Pp1/p1P4R/PP1BP1P1/1R2KBN1 b - - 0 21,a8a7
r1bqkb1r/p1pp1ppp/np3n2/4p3/P2N4/5N2/1PPPPPPP/R1BQKBR1 w Qkq - 4 7,f3e5
1n1q1k1r/rpp2p2/p2p1Np1/1P3n1p/2P1PpBP/N2PB1b1/P1K3P1/R7 w - - 1 24,e3a7
4kb1r/Pp1b4/3q2p1/2ppPp1p/Pp3P1P/1R5N/2nKP1P1/1NBQ1B1R w k - 1 22,a7a8q
r1bqkb1r/pp2ppp1/n2p3p/7n/1P1p4/P3B3/R1P1PPPP/1NQ1KBNR b Kkq - 1 8,d4e3
rn1qkbnr/pp2p2p/5p2/2Pp1bp1/8/P1N2P1N/2PPP1PP/R1BQKB1R b KQkq - 2 6,d5d4
rnbqkb1r/p2p1ppp/8/1pp1pn2/8/N1P2PPP/PP1PP3/R1BQKBNR w KQkq - 0 6,e1f2
rnq1kbnr/p1ppp2p/bp3ppQ/8/PP1P4/8/2P1PPPP/RNB1KBNR w KQkq - 0 6,h6d2
r2qk3/3bppb1/r3n1P1/P1p4P/P1pp2Q1/1N1PP2P/7n/R1B1KBNR w q - 3 25,h1h2
1nbqkb2/1rpp1ppr/5n2/pp2pN2/1P5p/3PP1P1/P1P1KP1P/RNBQ1B1R w - - 0 11,f5h4
rnb1qbnr/p1ppp1pp/5k2/1p3p2/4P3/1PPP1NP1/P4P1P/RNBQKB1R b KQ - 0 6,e7e6
r3kb1r/pp2p3/n1p1bn1p/1q1p4/P3PpQ1/1PPP1KP1/5P1P/RNB2BR1 w kq - 1 17,g4g6
rnb1k1nr/p1qp1p1p/2pb4/4p1pP/1p2P3/PK1P1P2/1PPB2P1/RN1Q1BNR b kq - 1 10,c6c5
rn2qb1r/2pkpppp/pp1p1n2/8/3P2b1/2P1B1PN/PP2PP1P/RNQ1KBR1 w Q - 5 8,f2f3
1rb1qbn1/2pkpB2/2n3p1/1p2p2r/pP6/P1P2N1P/1Q1P1P1P/RNB1K2R w KQ - 1 15,b2a2
rn5r/pp2k1Bp/3p2p1/2pnp1N1/PPPPP2P/2Q2bP1/5P1R/3RKB2 w - - 2 24,c3f3
rnbq1b1r/1p1k1p1p/p2ppn2/2p5/1P1PPpP1/B7/P1P2P1P/RN1QKBR1 w Q - 0 9,d4c5
r1b1k1nr/1p3pp1/pqpbp3/3p3p/2nP1P2/2P2KPP/PPQNP2R/R1B1NB2 b k - 2 14,c4d2
rn1k1br1/1p1q1p1p/p1p1p1p1/3p4/b4PnP/3P3K/PPP1P1P1/R2QBBNR w - - 2 16,h3g4
rnb1kbnr/3ppppp/ppp5/3q2P1/Q1PP4/NP2PP1P/5KB1/R1B3NR w - - 0 15,c4d5
1nbqkbnr/rp2p3/p1p4p/2Bp1p2/8/3P4/PPPQPP1P/RN2KBNR w KQk - 6 10,c5a7
rnb2r2/p3k2p/2pppnpP/4Qp2/1P1P4/8/Pb1N1P2/R3KBNR b KQ - 2 24,d6e5
1rb2bnr/p1pkq1p1/5p1p/1p1pp2P/1PP1P3/3B2QR/P2P1PP1/RNB1K1N1 b Q - 4 12,d5c4
1rbqk3/3pp3/p1r5/2P5/1n4Pp/4p2P/PPP1NP1Q/1RB1K2R b K - 0 24,b4c2
rnb1k1r1/5p1p/3qpn1b/1p3Pp1/pP1pPB2/3P2K1/N1P3PP/R2Q1BNR b q - 5 14,d6f4
1n2kbn1/r2pr3/b3p1P1/pp2q2p/P1P2Pp1/RPP1P3/4N1B1/1NBQK2R b - - 0 22,e5c5
rn2kbnr/2qpp1pp/pp6/3bNp2/2p5/4P1P1/PPP2P1P/R1BQKBNR b KQkq - 2 11,c7e5
1r6/1p5r/p1pk2P1/P1pnpbbp/4P3/N3BP2/1PP2K1P/R5NR w - - 2 26,a3c4
2bqkbn1/Bpp4r/7p/3Pppp1/pn4P1/NP1P1Q1P/PK3P2/R4BNR w - e6 0 17,a1e1
r1bqkb1r/ppppppp1/B1n5/4n2p/4P2P/N4P2/PPPP2P1/R1BQK1NR w KQkq - 0 6,a6e2
rnbqkb2/1p1Np1pr/p4n2/3p1p1p/1P1P1B1N/2P3PB/P3PP1P/R2QK2R b KQq - 1 14,c8d7
r2qkbr1/3pp1pp/p7/P1p1np1n/5P2/2RPP1PP/2P1Q2N/1N2KB1R b Kq - 5 17,h5g3
r1bqkbnr/pppn1pp1/3p4/4p2p/7P/2P2NP1/PPQPPP1R/RNB1KB2 w Qkq - 2 7,d2d4
r1q2knr/2p4p/2n2p2/1pPppbp1/1BP1P3/3K1PPP/PQ1PN3/RN3B1R w - - 7 21,c4d5
1r1qk2r/1nppb2p/5p2/p3n1P1/P2P2QP/p7/1P1P2PR/1NBK1B2 b k - 4 25,e5g4
2rqkbn1/p1pbpp2/1p2r3/1Pn4p/P1p1P1P1/3P1P1N/2R1K2P/1NBQ1B1R b - - 2 18,c4d3
rnb1kbnr/pp1pppp1/B3q3/2p5/4PP1P/2P5/PP1P1KP1/RNB3NR b q - 2 10,e6a6
r1b1k2r/p1pp1p2/n2b2pn/1p2p2p/3P2PP/P4P2/1PP1PN2/RNqQKB1R b Qkq - 2 10,c1d1
rn1q1bnr/p2Bp2k/Q1b2p2/3p2pp/3PP3/N1P5/PP2NPPP/R1B1K2R b KQ - 1 15,b8a6
rnb3r1/1pqkbppp/8/p1pBp1B1/1PP1n1P1/P2PP3/2Q2P1P/RN2K1NR b KQ - 0 15,e4g5
2kr2r1/p2bnp1p/6p1/1p5P/Pnp2bP1/1PP5/4PpBR/RNBQ1KN1 w - - 2 21,c1f4
1nbqkb1r/r2pp1pp/p1p2p1n/1p6/P2P3P/2P3P1/1P1BPP2/RNQ1KBNR b KQk - 1 7,h6f7
r1q1kb2/pb2p1p1/3nPp1r/1p1p3p/1n1P1P1P/2N3K1/PPP3PR/RQ3BN1 b q - 6 19,d6f5
3qk3/r1pp2r1/3bnp1n/p3p1pp/1Q4PN/3P1B1P/pPPBPPR1/3RK3 w - - 4 23,b4c4
r1b1kbnr/p1npp1pp/1pp5/8/P1PP1p2/N3B3/1P2PPPP/R2QKBNR w KQkq - 1 9,e3f4
1r2kb2/4ppp1/p1p1bn1B/q2n3p/p1PPP1P1/PP3B1P/4NP2/R2K3R b - - 7 18,d5c3
r1b2b1r/1p1pk1pp/1qn4n/p2pp3/P2PPp2/3B1P2/1PPQ2PP/R1BK2NR w - - 3 12,d4e5
Nrk3nr/pb3p2/np2p3/2pP2pp/7b/3PP2P/PPQB1PP1/R2K1BR1 w - - 2 19,c2c3
rnq1k1n1/1p2p2r/p1p4N/P2b3P/1P3p2/2b3P1/R1PPP3/B2QKB1R b Kq - 1 20,d5h1
r3k2r/2ppqpb1/bpn5/p3p1pp/PP4P1/N1P5/3PPKPP/R1BQ1BNR w kq - 0 13,b4b5
rnb1kbnr/pp2p3/2p2pp1/7p/2p5/BP1q3N/P2PPPPP/RN1QKBR1 b Qkq - 1 8,d3f5
r1b1kbnr/pp1pp1p1/1qp2p2/7p/2Pn2P1/5P2/PP1KP2P/RNBQ1BNR w kq - 1 7,e2e3
2bb1k1r/r1p4p/1p1ppP2/p4p2/2Pq4/P2P2PP/4KP1n/RQ2BBN1 w - - 1 26,f1g2
rn2kbnr/2qpp1p1/bp5p/p1p2p2/P4P2/4P2P/1PPP2P1/RNBQKBNR b Qkq - 0 8,g8f6
r1bqkbnr/2pnp1pp/8/ppPp1p2/4P3/BP5N/P1QP1PPP/RN2KB1R b KQkq - 1 7,f5e4
r4kn1/p3pr2/n2p2pb/Ppp2BPp/3P1P2/NRB1P2P/P1P3b1/3QK3 w - - 5 26,f5g6
rnb1kbnr/ppqpp3/4Bpp1/2p2Q1p/8/4P2P/PPPP1PP1/RNB1K1NR b KQkq - 0 6,g6f5
1n1k1bnr/4ppp1/rpp4p/pP1N1b2/3N4/P2PB1q1/2PKPPPP/R2Q1B1R b - - 2 12,g3d6
3q1k1r/r3bbpp/1pn2p2/p2p1nPP/P2p4/2PP4/1P1QPPB1/RN2K1NR w - - 1 24,g5f6
r2qkb1r/1ppb1ppp/2nppn2/p7/2P3PP/3P1P2/PP2PK1R/RNBQ1BN1 b kq - 1 7,d6d5
r1bq2nr/pp1p4/1Np1k2p/2Q3p1/1P3p2/B1PnP2P/P3PPPR/1R2KBN1 w - - 1 17,e2d3
r1bqk1nr/p1pp1pp1/1pQ1p3/7p/3P4/2bB1P2/PP1K1PPP/R1B3NR w kq - 0 11,c6c3
1rb2b1r/1ppqp2p/3pk3/p4p2/PPn1P1PR/2NP1N2/5P2/R1B1KB2 b - - 0 19,e6f7
rnbqkb1r/ppp1p1pp/8/3p1p2/Q5nP/6P1/PPPPKP2/RNB2BNR b - - 5 9,c8d7
r1b1kb1r/pppqp1p1/n5Pn/2Bp3p/1PP2p1P/3P1P2/P2NP3/R2QKBNR w KQkq - 2 12,f1h3
rnbqk1nr/p1p1b2p/4p3/1p1p4/1P2Pp2/P1P2PpN/1B1PQ1PP/RN2KBR1 w kq - 0 12,h2g3
rnb2b2/pp2kppN/3p4/P3P3/1p6/3P2n1/2P1P3/RNBQKB2 w Q - 0 17,c1f4
rnb2bnr/4p2p/1p1p4/pqk5/P1p3p1/2NPP2N/1BPQ1PPP/R3KB1R b KQ - 1 16,b5b2
2r2b1r/3kqppp/p2p3B/1pp1p2P/P3n3/1PPP4/Q4NPP/RN1K1B1R b - - 1 22,e4f2
2b2b1r/1pq1k3/2p3p1/1Pnpp2p/3PP1PP/r3Q3/P1P1R3/R1B1KBN1 b Q - 1 18,a3e3
1n2k2r/r1q1p1bp/1p3pN1/pP1n1P2/P2pP1Q1/2p3PP/1RPP2R1/1NB1KB2 b - - 6 22,c3b2
rn1q3r/1ppb1p1n/p3k2p/3pB3/2PPN1P1/7B/Pb2PP1P/RQ2K2R w Q - 0 18,c4d5
rn1k1b1r/p1q2p1p/P1p5/1P1ppb2/1P4NP/Q1N1PRnB/R2P1P2/2B1K3 b - - 7 25,h7h5
r1b1k1nr/p2p1pp1/n1p4B/4pPb1/Pq4P1/4R2B/4P2P/1NQ1K1NR w Kkq - 0 16,e1f2
r1bqkb2/1ppp1p1r/p1n2npp/6P1/4p3/2P2N2/PP1PPP1P/RNBQKB1R w KQq - 1 9,g5f6
r1b1kbnr/p2pppp1/n1p5/1p5p/1P6/q5PN/PBPPPPBP/RN1QKR2 w Q - 8 9,b1a3
r3kbnr/2n1p3/5p1p/p1p3p1/2b1PPP1/N1Q2N2/P2K2BP/R1B2R2 w kq - 1 22,c3c4
r2qk1nr/1bppp1bp/B1Q2p2/p2P2p1/Pp2P3/8/1PP2PPP/RNB1K1NR w KQkq - 2 9,c6b7
1n2qb1r/r3nkpp/1p4N1/pPpPpp2/P7/2P1PKPB/3Q3P/1RB4R b - - 2 24,h7g6
rnq2br1/2k2ppp/1p1p3n/1pp3B1/2P4P/1b3NP1/3PPP1R/RN2KB2 b - - 1 22,a8a1
r3kb1r/pp1b1n2/3qp3/2pp1p1p/1n1PQPp1/1KP3PP/PP2PR2/RNB2BN1 b kq - 1 15,c5c4
r1bqkb1r/2p1pp1p/p1n4n/pB1p4/4P1p1/1P4PP/R1PP1P2/1NBQK1NR w Kkq - 0 9,b5c6
r1b2r2/2pqn2k/1p2pp1p/p7/PnP1KNP1/3P2P1/4P2P/BN3B1R w - - 1 25,e4e3
r2qkbn1/pp2p1p1/n1bp3r/1Pp2pp1/5P2/P1P1P1PP/1B1P4/RN2KB1R w KQ - 1 16,b5c6
rnb5/p2k4/3bpppn/qpp1p2B/P3P2B/R1NP3N/1PP1KPPP/R7 b - - 7 19,b5b4
rn1qkb1r/p2p1pp1/b7/2p1p2p/2P3n1/P3P2N/3P1PPP/RNBQK1R1 w Qkq - 0 10,d1a4
rn2kbr1/1p2p2p/p3bpp1/1Ppp3n/P3P2P/5PN1/R1PPN1P1/q1BQKBR1 w q - 1 14,a2a1
rnb1kb1r/p1pp1ppp/5q2/1p1np3/1PP2P2/3P4/P3PKPP/RNBQ1BNR b kq - 0 6,b5c4
rn1qk1nr/1bp2p2/pp2p1p1/2bpN2p/1P4P1/3PP2N/P1P2P1P/R1BQKB1R b Kkq - 3 14,c5b4
r1bqk1r1/2ppppb1/ppn1Nn2/6pP/2P5/3P4/PP2PPBP/R1BQKNR1 b Qq - 2 11,f7e6
rnbqkbnr/3p3p/1p4p1/p1p1ppP1/8/P1QP3N/1PP1PP1P/RNB1KB1R w KQkq - 0 8,c3e5
2bqk1r1/2Bpn3/1r1b4/np3ppP/P1PNp3/R2PP2P/1P3P2/4KBNR w K - 0 21,c7d8
rnbqrk2/p1pp1B1p/5pp1/1p4b1/1P1p3Q/P1P1P1PP/1R1P1PR1/1NB1K3 b - - 1 21,g5h4
r1b1kb1r/1p4pp/p1ppp2n/1Pn2p2/P7/5PQP/2PBq1P1/RN2K1NR w KQkq - 0 15,g1e2
1n1k1b1r/r1pp1p1p/6pn/2q2b1P/pP1N4/1P4PB/2PBPP2/RNQ1K2R b - - 0 16,c5d4
rn2kbnr/p1p1ppp1/1p6/3p4/PPPN1P2/3P3b/4P1pP/RNBQKBR1 b Q - 0 14,g2f1r
r1b1kbnr/1ppp1ppp/2n5/p5q1/4p1PP/5P2/PPPPPN2/RNBQKB1R w KQkq - 1 6,h4g5
br1q2nr/p1N4k/1pp2p1b/3Bp1p1/1P5P/B2nPP2/P1PP2P1/R4KNR b - - 0 24,c6d5
r1bqkb2/p2pp2r/2Bn4/4nppP/2pP1P1P/Pp6/RPP1P1K1/2BQ2NR b q - 3 15,e5c6
r1bk2nr/1p1n1p1p/4p1B1/p1p5/2PpQ2P/P3PKR1/1P1PN3/1RB5 b - - 4 25,h7g6
rnbq1b1r/ppp3k1/4p2p/PB3p1P/3P2PR/2P5/1P1B1P2/Rn2QKN1 b - - 2 23,b1d2
r1b2b1r/p2k3n/n2pp1q1/1P3ppp/3P1P2/RP2P1PP/2N2K1R/2BQ1BN1 w - - 2 25,b5a6
2bqk1nr/r7/1p2pp1p/2p4P/p2pPN2/NP1Q2P1/n1PPKP1R/b2R1B2 w k - 3 24,a3b5
rn1N1b1r/2p1pp1p/1p1q3n/Q3P3/4kPp1/2P5/PP1P2PP/R1B2KNR w - - 3 20,a5a8
r1bqkb2/p1p1p1pr/3p1p2/7p/1nP1n3/2P1BN1P/PP2PPP1/1R1QKB1R b Kq - 0 11,b4c6
r1b1nqkr/3ppp1p/p6n/5p2/1Ppp4/BN1P3N/P3PK1P/1R3B1R b - - 1 21,h6g4
1nrk2n1/p1p4r/2P1p1p1/PQb2p1p/1P1P2P1/3B4/N2BNP1P/R3K2R b KQ - 2 24,c5d6
rn3bnr/pb1pk2p/p3p1p1/2p1Pp2/1P5P/3q1P1N/P1PPQ1P1/RNB1K2R w KQ - 3 11,e2d3
r1q1kb2/4npp1/b2p2p1/B7/4pP2/1pPPP2P/1n2K2P/RN3BNR b - - 3 25,a6d3
r1b3n1/ppq2p2/2ppp1pp/2B1k1b1/P1PP2PP/4PP2/RP1NBK2/1n1Q2NR b - - 0 22,e5f6
r1bqkbnr/pppppp2/7p/2P3p1/8/1n3P2/PPNPP1PP/R1BQKBNR w KQkq - 0 6,a2b3
r2qkbnr/pppbppp1/7p/3p4/3P4/NP2PNPn/P1P2P2/R1BQKB1R w KQkq - 0 11,f1h3
rnbq1knr/pp2pp1p/3p2pb/2p5/4Q2P/P1P2P2/1P1PP1P1/RNB1KBNR b KQ - 0 6,d6d5
rnbq1r2/p3nkpp/2pppp2/1p2N3/P1P1P2P/1P4P1/N2P1P2/R1BQKB1R b Q - 0 13,d6e5
rnb2bnr/pp2k2N/4p3/2p2p2/N1PPp3/8/PP4PP/R1BK1B1R b - - 0 19,h8h7
1rbqk3/1Bpp1p2/pp2p3/n5pP/6n1/1PPPP3/Pb2NP1P/2KR1R2 w - - 0 16,c1b2
rn2kbnr/ppQ1ppp1/1N2b3/2p4p/1P1p2PP/q1P1P2N/3P1P2/R1B1KB1R b KQkq - 3 12,a3a1
r3q2r/pbppbppp/n3pn2/1N1k4/3P4/3BP1P1/PPP4P/R2QK1NR b KQ - 0 15,d5c6
rn2k1r1/p1qppp2/6p1/1pp1b3/1P3p2/BR5P/P1PP4/3NKBNR b Kq - 3 18,c5c4
1r3b1r/ppq2ppp/3kPn2/n1p5/P4Pb1/RPP5/1B1P2PP/1NQBK1NR b K - 2 17,b8e8
rq2k2r/p6p/4bp1n/1p1p3P/PpPp1P1p/1P1BPP1N/3Q4/RN2K3 w Qk - 1 25,h3g5
rn1q1b1r/pk2ppp1/1p1pbn1p/2pN4/P1P4P/1P2P3/R2P1PP1/1NBQKBR1 b - - 1 11,f6d5
rnb1kbnr/p2ppp1p/1p3p2/2p2P2/8/PP1q3P/2PPP1P1/1RBQKBNR w kq - 3 12,e2d3
1r1r2k1/ppp2ppp/n3b3/3R1Bbq/4P1P1/2P2K1P/P1P5/5NNR b - - 7 23,h5h6
1nbqkr2/rppp1pp1/4p3/7p/pbK3n1/B1PP1P2/P2NP1PP/R2Q1BNR w - - 1 11,c3b4
r1bq1k1r/1pp2p1p/2Bp1n2/p5P1/PP2p2b/2N1P1nP/2PPQ3/R1B1K1NR b KQ - 1 17,g3e2
r1b2br1/1ppk1pp1/p2p4/3nP1qp/P2P2PP/8/1PPB1K2/RN2n1NR b - - 1 20,g5g4
r2q1bnr/2p1p3/pP3ppp/P1kp4/8/2N1nPP1/QP1PPKbP/R1B4R b - - 3 18,g2h1
1q2kb2/r1pn3r/2N2p1n/Rp2Q1pp/3pP1b1/1PP5/2NP1PBP/2B1K2R b K - 0 20,d7e5
rn1N1k1r/p2pp2n/R5p1/5pb1/1PpPPPPp/1P1B3P/1BPK4/2Q3NR b - - 0 19,g5f4
1r2r3/b1ppk1p1/1p2Bn2/P4p1p/2Pp2q1/1P2PPP1/2b1N1KP/RQB3NR w - - 3 24,b1c2
1nb1k1n1/r1p1bppN/pp2p3/3pP1Bp/PP2q3/3P4/2PK1PPP/RN1Q1B1R b - - 4 14,e7g5
r1b2bnr/p1p1pk2/1N5p/5p1p/3pqPPP/3P4/PPPNP3/1R1QKB1R w K - 1 14,d3e4
r1b1k1nr/ppBp1p1Q/6B1/q7/2p1P3/1PP4P/P4PPR/RN2K1N1 w Q - 1 21,h7f7
rn1qkbr1/1bppp1p1/7p/p7/1pBP2p1/P2QB3/1PP1NP1P/RN2K2R b KQq - 1 15,e7e6
rn1k2r1/3b1pbp/8/1q2P3/1ppP2p1/P2PPQ2/1P2N1RP/RNBK4 w - - 1 21,f3a8
1nb1k2r/r1q2p1p/1p1pp2b/3n2p1/pPpP1QP1/P1P2P1N/4PKBP/RNB2R2 w k - 2 15,f4g3
nr4nr/pb3k1p/4qppb/2p5/pP4P1/R2P3N/2P1PPRP/4KB2 w - - 2 23,b4b5
r1b1kbnr/1pq1ppp1/2np3p/p1pP4/8/4PN2/PPPBQPPP/RN2KBR1 w Qkq - 3 8,d5c6
1nbqkr2/1pp2ppp/2rp3n/p1b1p3/3PPP2/B5PB/P6P/RN1QK1NR b KQ - 0 12,c5d4
rn1q1knr/1b1p1N1p/2pb4/p7/3P1Pp1/PP2P3/1P2B1PP/RNBQK2R b KQ - 2 17,f8f7
rnbq1k1r/p1pp3p/4pppn/1P6/Rb2PB1P/1P1P4/2P1KPP1/1N2QBNR b - - 2 11,b4e1
rn1qkb2/1p5p/3Q1p2/2pPpr2/P1P1n2p/P2N1P1B/3NK3/R1B2R2 w q - 0 26,d6e6
r2qn2r/p2bk1b1/1p1p1pP1/2p1p1Np/6nP/PPN1P3/1BPP2P1/R2QKB1R w Q - 3 19,c3d5
4rBn1/p2b1pr1/n1p1pk2/3p4/pP2P1pq/2PP1N2/1Q1R1P1P/1N2K1RB w - - 0 26,e4e5
r3kbnr/p2p4/1pn1p3/1B3ppp/2P1P2P/2P2N1R/PP6/RNBQ1K2 b kq - 0 14,g5g4
2r1kbnr/1p1np1pp/p3bp2/q1p5/PP1N1P1P/N2p4/3KP1P1/R1BQ1B1R w k - 0 12,b4a5
1rbq2nr/pppp1pp1/3bk3/3np1BP/P7/2P1Q3/1P2PP1P/RN2KBNR w KQ - 1 11,e3h3
r1bqknnr/p1p1b3/R2p1pp1/1P2pP1p/Q6P/2P5/1P1PP1P1/1NB1KBNR b Kkq - 2 11,c8a6
r1b1k1r1/p2p1p1p/2B1pqpb/1pB5/P5P1/1P2N1PN/2PPP2P/2RQK2R w Kq - 1 17,c6a8
1nbqkbnr/r1pp2p1/1p6/p2Ppp1p/QPP5/7P/PB2PPP1/RN2KBNR b KQk - 1 11,f8b4
2k2b1B/rpp2p1n/n7/p3p2p/3pP3/PPPP1PP1/1K1N2qP/R5R1 b - - 2 21,g2d2
rnbqkb1r/p3p3/1p1p3p/P1p1N3/3P1p2/2P3P1/1P1B1P1P/R1QnKBNR w K - 4 21,f1b5
